Date, Open, High, Low, Close, Volume
10/27/23, 12.70, 13.30, 12.50, 12.50, 72111602
10/26/23, 12.50, 12.70, 12.40, 12.45, 6886500
10/25/23, 12.90, 13.00, 12.30, 12.50, 8052800
10/24/23, 13.75, 13.75, 12.70, 13.00, 1458400
10/23/23, 13.90, 13.90, 13.00, 13.60, 11962300
10/19/23, 13.80, 13.80, 13.70, 13.80, 6356700
10/18/23, 13.70, 13.95, 13.65, 13.80, 10979700
10/17/23, 14.00, 14.00, 13.65, 13.80, 504600
10/16/23, 14.00, 14.20, 13.80, 13.95, 1711200
10/13/23, 14.00, 14.00, 13.85, 13.95, 900800
10/12/23, 14.00, 14.35, 13.85, 14.00, 1661300
10/11/23, 14.40, 14.40, 13.80, 13.90, 5405200
10/09/23, 14.00, 14.00, 13.80, 14.00, 809100
10/06/23, 14.30, 14.65, 13.85, 14.00, 48233398
10/05/23, 14.70, 14.70, 14.25, 14.50, 2483600
10/04/23, 15.00, 15.00, 14.55, 14.65, 574900
10/03/23, 14.70, 14.80, 14.60, 14.70, 2602000
10/02/23, 14.60, 14.90, 14.60, 14.65, 1919700
09/29/23, 14.60, 14.70, 14.50, 14.60, 2270500
09/28/23, 14.85, 14.85, 14.50, 14.60, 2383000
09/27/23, 14.90, 14.90, 14.65, 14.70, 3180700
09/26/23, 14.95, 14.95, 14.80, 14.90, 299700
09/25/23, 15.00, 15.00, 14.80, 14.95, 2139000
09/22/23, 15.00, 15.30, 14.90, 15.00, 8289600
09/21/23, 15.25, 15.30, 14.85, 14.95, 1273300
09/20/23, 15.50, 15.50, 14.95, 15.00, 32720500
09/19/23, 15.70, 15.70, 15.20, 15.40, 935300
09/18/23, 16.00, 16.00, 15.45, 15.60, 1446800
09/15/23, 15.70, 16.00, 15.50, 15.75, 1722600
09/14/23, 15.50, 15.95, 15.25, 15.50, 15168100
09/13/23, 15.40, 15.75, 14.90, 15.30, 8023600
09/12/23, 16.00, 16.00, 15.25, 15.35, 1665700
09/11/23, 16.00, 16.00, 15.50, 15.75, 10124400
09/08/23, 15.30, 16.20, 15.30, 15.50, 8584700
09/07/23, 15.30, 15.45, 15.20, 15.25, 1374300
09/06/23, 15.20, 15.30, 15.05, 15.10, 23586000
09/05/23, 15.40, 15.40, 15.05, 15.10, 11102200
09/04/23, 15.30, 15.30, 15.00, 15.10, 802900
09/01/23, 15.40, 15.40, 14.90, 15.10, 2761200
08/31/23, 15.70, 15.70, 15.20, 15.40, 1497600
08/30/23, 15.50, 15.70, 15.40, 15.50, 5767600
08/29/23, 15.50, 15.50, 15.35, 15.45, 1522500
08/28/23, 15.50, 15.50, 15.40, 15.45, 3574900
08/25/23, 15.75, 15.75, 15.30, 15.50, 671600
08/24/23, 16.00, 16.00, 15.70, 15.75, 520900
08/23/23, 15.85, 15.95, 15.20, 15.55, 3907600
08/22/23, 15.90, 16.00, 15.80, 15.90, 1019800
08/21/23, 16.00, 16.25, 15.85, 15.95, 975600
08/18/23, 16.00, 16.25, 15.95, 16.00, 1575200
08/17/23, 16.00, 16.30, 15.60, 15.95, 7023200
08/16/23, 15.95, 15.95, 15.00, 15.00, 30962801
08/15/23, 16.00, 16.00, 15.80, 15.90, 2795500
08/14/23, 16.20, 16.20, 15.50, 15.90, 5431200
08/11/23, 16.00, 16.30, 16.00, 16.05, 5178900
